,Unnamed: 0,nelx,nely,did converge,Youngs modulus,circle 1 x,circle 1 y,circle 1 radius,force 1 x,force 1 y,circle 2 x,circle 2 y,circle 2 radius,force 1 x.1,force 2 y,circle 3 x,circle 3 y,circle 3 radius,force 3 x,force 3 y,True Mass,True Compliance,True Stress,Predicted Mass,Predicted Stress,Predicted Compliance
31,22,100,50,True,344825022676.58813,0.24,0.76,0.1267613803319908,-3933.107392960691,-10400.868474792673,1.03,0.27,0.1575067114539215,8333.89303344391,11967.901420529426,1.1,0.7,0.1910216231187499,-4400.785640483219,-1567.0329457367532,492.95898419803694,-66.70549646542223,135124609.80294776,600.8213,0.1234416959603541,14234602.488447696
32,23,100,50,True,299618133132.00366,0.26,0.28,0.1465403133062349,-8546.715726105283,-604.1266003761322,1.15,0.65,0.1489698852281505,-1896.0609188803455,6594.371935677016,0.41,0.71,0.1807349850509854,10442.776644985632,-5990.245335300884,530.9270033672432,0.0155762475745811,568376.7484423632,676.52203,-0.9116201687824216,11167418.145233734
33,24,100,50,True,378197442328.2579,1.72,0.32,0.1652082548445725,7168.403202408934,10126.619906150332,1.29,0.61,0.1714369286376783,8638.404933353417,7047.25694390598,0.29,0.71,0.1792800709796465,-15806.808135762349,-17173.876850056313,631.5044176470558,0.7813643881503134,5096049.471324943,769.32605,0.0259001740705249,7381420.947360112
34,25,100,50,True,99472329414.98888,0.61,0.69,0.1955218160951323,12246.059261171124,3209.6826465515405,1.21,0.47,0.1015216523383579,7344.175338898074,7817.545244557659,1.73,0.73,0.1551001887958887,-19590.2346000692,-11027.2278911092,622.7719807850902,0.2809324646466251,1376544.9454037042,594.19336,-4.022533573424171,24121789.10604272
35,26,100,50,True,110153461809.00232,1.54,0.6,0.1135691944167411,7211.246856182584,3751.491919660337,1.75,0.36,0.1117978746242338,4281.838391945422,-9088.889323743131,0.29,0.29,0.1814514418135374,-11493.085248128004,5337.397404082796,638.5996103110461,-0.0325062149743835,1213721.1559077338,660.55444,0.5305854799878695,14389280.951751828
36,27,100,50,True,280316878381.18286,0.88,0.73,0.1553046930772109,483.2808736108178,2874.873804081449,0.43,0.79,0.104922722654634,-5039.292421482625,-10158.985203262482,0.22,0.21,0.1073400214930663,4556.011547871807,7284.111399181032,388.8954991931303,0.48038774399378,5134388.33744204,557.21265,-0.2800803396153155,12761608.929862523
37,28,100,50,True,336832762777.68414,0.27,0.68,0.1176087083605088,124.7746297647132,-4614.129284527781,0.29,0.29,0.176119837029701,9663.455275439812,-5715.960818536135,1.22,0.71,0.1250126265030004,-9788.229905204524,10330.090103063916,775.8909573364314,-0.1069699759829625,3564662.0380318663,529.0161,-1.405675687132122,15658107.655698491
38,29,100,50,True,81026711100.05795,0.84,0.73,0.1602521394013611,-7681.751555411754,-11782.17422234748,1.56,0.73,0.1622534564287098,-6295.918410648287,1304.518177649234,0.27,0.27,0.1602843361939408,13977.669966060042,10477.656044698248,905.3901645975916,-0.0355318807858911,636221.6644147646,840.9322,-0.1833595203908245,5365830.677129274
39,30,100,50,False,400729992173.122,1.11,0.66,0.1067125385713789,4014.2103717428663,10930.857405069884,0.66,0.28,0.171093226110694,-10133.90212966679,707.7833156553545,0.31,0.4,0.1102895451707085,6119.6917579239225,-11638.64072072524,468.2322385640106,0.0746873528034251,3475788.1532327007,430.75745,-0.5685577208710034,17772842.824817955
40,31,100,50,True,169159790264.0625,0.46,0.31,0.1874893440389695,-9027.468699469671,-4551.680580103867,1.52,0.71,0.173044766752837,-4918.671239483872,6125.452941577075,1.7,0.3,0.1851730440829727,13946.139938953544,-1573.7723614732074,606.4393253989604,0.1682709597428152,4862775.8228611415,662.3437,0.4689440701767586,41455239.76437248
